x1,x2,d,y,e,membership_function
-0.979798,-0.8585859,4.9570452,4.9547675,5.2e-06,gaussmf
-0.979798,-0.8585859,4.83216,4.829271,8.3e-06,gaussmf
-0.979798,-0.8383838,4.7089073,4.705521,1.15e-05,gaussmf
-0.979798,-0.8383838,4.587287,4.5835247,1.42e-05,gaussmf
-0.979798,-0.8383838,4.4672993,4.4632863,1.61e-05,gaussmf
-0.979798,-0.8181818,4.348944,4.3448078,1.71e-05,gaussmf
-0.979798,-0.8181818,4.2322212,4.2280884,1.71e-05,gaussmf
-0.979798,-0.8181818,4.1171309,4.1131249,1.6e-05,gaussmf
-0.979798,-0.7979798,4.0036731,3.9999119,1.41e-05,gaussmf
-0.979798,-0.7979798,3.8918478,3.888442,1.16e-05,gaussmf
-0.979798,-0.7979798,3.7816549,3.7787059,8.7e-06,gaussmf
-0.979798,-0.7777778,3.6730946,3.6706924,5.8e-06,gaussmf
-0.979798,-0.7777778,3.5661667,3.5643892,3.2e-06,gaussmf
-0.979798,-0.7777778,3.4608713,3.4597827,1.2e-06,gaussmf
-0.979798,-0.7575758,3.3572084,3.3568581,1e-07,gaussmf
-0.979798,-0.7575758,3.255178,3.2556004,2e-07,gaussmf
-0.979798,-0.7575758,3.1547801,3.1559938,1.5e-06,gaussmf
-0.979798,-0.7373737,3.0560147,3.0580225,4e-06,gaussmf
-0.979798,-0.7373737,2.9588817,2.961671,7.8e-06,gaussmf
-0.979798,-0.7373737,2.8633813,2.8669239,1.25e-05,gaussmf
-0.979798,-0.7171717,2.7695133,2.7737667,1.81e-05,gaussmf
-0.979798,-0.7171717,2.6772778,2.6821859,2.41e-05,gaussmf
-0.979798,-0.7171717,2.5866748,2.5921688,3.02e-05,gaussmf
-0.979798,-0.6969697,2.4977043,2.5037045,3.6e-05,gaussmf
-0.979798,-0.6969697,2.4103663,2.4167833,4.12e-05,gaussmf
-0.979798,-0.6969697,2.3246607,2.3313973,4.54e-05,gaussmf
-0.979798,-0.6767677,2.2405877,2.2475407,4.83e-05,gaussmf
-0.979798,-0.6767677,2.1581471,2.1652092,4.99e-05,gaussmf
-0.979798,-0.6767677,2.077339,2.0844009,4.99e-05,gaussmf
-0.979798,-0.6565657,1.9981635,2.0051157,4.83e-05,gaussmf
-0.979798,-0.6565657,1.9206203,1.9273558,4.54e-05,gaussmf
-0.979798,-0.6565657,1.8447097,1.8511251,4.12e-05,gaussmf
-0.979798,-0.6363636,1.7704316,1.7764298,3.6e-05,gaussmf
-0.979798,-0.6363636,1.6977859,1.7032776,3.02e-05,gaussmf
-0.979798,-0.6363636,1.6267728,1.6316782,2.41e-05,gaussmf
-0.979798,-0.6161616,1.5573921,1.5616426,1.81e-05,gaussmf
-0.979798,-0.6161616,1.4896439,1.4931834,1.25e-05,gaussmf
-0.979798,-0.6161616,1.4235282,1.4263141,7.8e-06,gaussmf
-0.979798,-0.5959596,1.359045,1.3610494,4e-06,gaussmf
-0.979798,-0.5959596,1.2961943,1.2974044,1.5e-06,gaussmf
-0.979798,-0.5959596,1.234976,1.2353949,2e-07,gaussmf
-0.979798,-0.5757576,1.1753903,1.1750366,1e-07,gaussmf
-0.979798,-0.5757576,1.117437,1.116345,1.2e-06,gaussmf
-0.979798,-0.5757576,1.0611162,1.0593356,3.2e-06,gaussmf
-0.979798,-0.5555556,1.0064279,1.0040229,5.8e-06,gaussmf
-0.979798,-0.5555556,0.9533721,0.9504204,8.7e-06,gaussmf
-0.979798,-0.5555556,0.9019488,0.8985407,1.16e-05,gaussmf
-0.979798,-0.5353535,0.8521579,0.8483948,1.42e-05,gaussmf
-0.979798,-0.5353535,0.8039996,0.7999919,1.61e-05,gaussmf
-0.979798,-0.5353535,0.7574737,0.7533397,1.71e-05,gaussmf
-0.979798,-0.5151515,0.7125803,0.7084433,1.71e-05,gaussmf
-0.979798,-0.5151515,0.6693195,0.6653061,1.61e-05,gaussmf
-0.979798,-0.5151515,0.6276911,0.6239286,1.42e-05,gaussmf
-0.979798,-0.4949495,0.5876951,0.5843092,1.15e-05,gaussmf
-0.979798,-0.4949495,0.5493317,0.5464434,8.3e-06,gaussmf
-0.979798,-0.4949495,0.5126008,0.510324,5.2e-06,gaussmf
-0.979798,-0.4747475,0.4775023,0.4759411,2.4e-06,gaussmf
-0.979798,-0.4747475,0.4440363,0.4432818,6e-07,gaussmf
-0.979798,-0.4747475,0.4122028,0.4123304,0,gaussmf
-0.979798,-0.4545455,0.3820018,0.3830684,1.1e-06,gaussmf
-0.979798,-0.4545455,0.3534333,0.3554742,4.2e-06,gaussmf
-0.979798,-0.4545455,0.3264973,0.3295236,9.2e-06,gaussmf
-0.979798,-0.4343434,0.3011938,0.3051894,1.6e-05,gaussmf
-0.979798,-0.4343434,0.2775227,0.2824415,2.42e-05,gaussmf
-0.979798,-0.4343434,0.2554841,0.2612473,3.32e-05,gaussmf
-0.979798,-0.4141414,0.2350781,0.2415713,4.22e-05,gaussmf
-0.979798,-0.4141414,0.2163045,0.2233754,5e-05,gaussmf
-0.979798,-0.4141414,0.1991634,0.2066189,5.56e-05,gaussmf
-0.979798,-0.3939394,0.1836547,0.1912584,5.78e-05,gaussmf
-0.979798,-0.3939394,0.1697786,0.1772475,5.58e-05,gaussmf
-0.979798,-0.3939394,0.1575349,0.1645365,4.9e-05,gaussmf
-0.979798,-0.3737374,0.1469238,0.153072,3.78e-05,gaussmf
-0.979798,-0.3737374,0.1379451,0.1427984,2.36e-05,gaussmf
-0.979798,-0.3737374,0.1305989,0.1336581,9.4e-06,gaussmf
-0.979798,-0.3535354,0.1248852,0.1255918,5e-07,gaussmf
-0.979798,-0.3535354,0.120804,0.1185392,5.1e-06,gaussmf
-0.979798,-0.3535354,0.1183553,0.1124385,3.5e-05,gaussmf
-0.979798,-0.3333333,0.117539,0.1072275,0.0001063,gaussmf
-0.979798,-0.3333333,8.1550862,8.1428655,0.0001493,gaussmf
-0.979798,-0.3333333,7.9942863,7.9864609,6.12e-05,gaussmf
-0.979798,-0.3131313,7.8351189,7.8309458,1.74e-05,gaussmf
